day,time,event,chair,speaker,affiliation,title,notes
Tuesday 29 August,,,,,,,
,18:00,Welcome reception,,,,,
"Wednesday, 30 August",,,,,,,
,8:00-8:50,Registration,,,,,
,8:50-9:00,Welcome,,,,,
,9:00-10:00,Session W1,Fredrik Lindsten,,,,
,09:00,,,Nicolas Chopin,ENSAE,Convergence of resampling algorithms,
,09:30,,,Arno Solin,IndoorAtlas and Aalto University,Terrain Navigation using the Ambient Magnetic Field as a Map,
,10:00-10:30,Coffee Break,,,,,
,10:30-12:00,Session W2: Computational Inference for Probabilistic Programs,Thomas Schön,,,,
,10:30,,,Brooks Paige,University of Cambridge,Inference in higher-order probabilistic programming languages,
,11:00,,,Marco Cusumano-Towner,Massachusetts Institute of Technology,Making sequential Monte Carlo easier to use via probabilistic programming,
,11:30,,,Lawrence Murray,Uppsala University,Delayed Sampling and Automatic Rao-Blackwellization of Probabilistic Programs,
,12:00-14:00,Lunch,,,,,
,14:00-15:00,Session W3,Adam Johansen,,,,
,14:00,,,Nick Whiteley,University of Bristol,Log-concavity and importance sampling in high dimensions,
,14:30,,,Prashant Mehta,University of Illinois,Kernel Algorithm for Gain Function Approximation in the Feedback Particle Filter,
,15:00-15:30,Coffee Break,,,,,
,15:30-16:30,Session W4,Alexandre Bouchard-Côté,,,,
,15:30,,,Murray Pollock,University of Warwick,Bayesian Inference for Big Data: Single- and Multi-Core Approaches,
,16:00,,,Víctor Elvira,Institute Mines Télécom,Online adaptation of the number of particles in sequential Monte Carlo methods,
"Thursday, 31 August",,,,,,,
,9:00-10:00,Session Th1,Nick Whiteley,,,,
,9:00,,,Adam Johansen,University of Warwick,Iterated Auxiliary Particle Filters and Their Application to Diffusion Bridge,
,9:30,,,Bert Kappen,Radboud University,Title TBD,
,10:00-10:30,Coffee Break,,,,,
,10:30-12:00,Session Th2: High-Dimensional SMC and Data Assimilation,Nicolas Chopin,,,,
,10:30,,,Jana de Wiljes,University of Potsdam,Second order accurate ensemble transform particle filters,
,11:00,,,Axel Finke,University College London,Approximate Smoothing and Parameter Estimation in High-Dimensional State-Space Models,
,11:30,,,Kody Law,Oak Ridge National Laboratory,Multilevel Sequential Monte Carlo methods,
,12:00-14:00,Lunch,,,,,
,14:00-15:00,Session Th3,Christian Naesseth,,,,
,14:00,,,Jeremy Heng,Harvard University,Controlled sequential Monte Carlo samplers,
,14:30,,,Pierre Del Moral,INRIA Bordeaux,On the stability and the uniform propagation of chaos properties of Ensemble Kalman-Bucy filters,
,15:00-15:30,Coffee break and group photo,,,,,
,15:30-16:00,Poster Spotlights,,,,,
,16:00-00:00,Poster Session and Conference Dinner,,,,,
"Friday, 1 September",,,,,,,
,9:00-10:00,Session F1,Lawrence Murray,,,,
,9:00,,,Maria Lomeli Garcia,University of Cambridge,SMC samplers for finite and infinite mixture models,
,9:30,,,Jimmy Olsson,Royal Institute of Technology,Numerically stable online estimation of variance in particle filters,
,10:00-10:30,Coffee Break,,,,,
,10:30-12:00,Session F2,Fredrik Lindsten,,,,
,10:30,,,Richard Everitt,University of Reading,Variable dimension SMC with transformations and sequential Bayesian inference for the coalescent,
,11:00,,,Rickard Karlsson,NIRA Dynamics and Linköping University,Map Aided Position for Vehicles in GPS-denied Environments,
,11:30,,,Deborshee Sen,National University of Singapore,Communication Efficient Sequential Monte Carlo,
,12:00,Farewell,,,,,
